public_case_id,base_score_id,base_musicxml_path,prompt,expected_edit_actions_json,tags_json,difficulty
pe_0161,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In measure 7, compose a short woodwind figure for Oboe 2 starting on beat 1. Write three triplet eighth notes ascending from E5 to G5 (E5, F#5, G5), then on beat 2 write four sixteenth notes descending back (A5, G5, F#5, E5).","[{""args"":{""actual_notes"":3,""beat"":1.0,""measure"":7,""normal_notes"":2,""part"":""Oboe 2"",""pitches_and_durations"":[[""E5"",""eighth""],[""F#5"",""eighth""],[""G5"",""eighth""]],""voice"":1},""name"":""add_tuplet""},{""args"":{""beat"":2.0,""duration"":""16th"",""measure"":7,""part"":""Oboe 2"",""pitch"":""A5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.25,""duration"":""16th"",""measure"":7,""part"":""Oboe 2"",""pitch"":""G5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.5,""duration"":""16th"",""measure"":7,""part"":""Oboe 2"",""pitch"":""F#5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.75,""duration"":""16th"",""measure"":7,""part"":""Oboe 2"",""pitch"":""E5"",""voice"":1},""name"":""add_note""}]","[""woodwind"",""triplet"",""sixteenth-run"",""rest-bar"",""complex_one_bar_creation""]",hard
pe_0162,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In measure 31, there's a tied note in the first flute part that starts on beat 2 with the sf marking. Please remove the tie from that note while keeping the note itself intact.","[{""args"":{""beat"":2.0,""measure"":31,""part"":""Flute 1"",""voice"":1},""name"":""remove_tie""}]","[""tie"",""wind"",""removal"",""simple_single_edit""]",easy
pe_0163,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In measure 125, write a scalar figure in Flute 2 starting on D6. Place four sixteenth notes (D6, E6, F6, G6) beginning at beat 1, then two eighth notes (A6, B6) on beat 2.","[{""args"":{""beat"":1.0,""duration"":""16th"",""measure"":125,""part"":""Flute 2"",""pitch"":""D6"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.25,""duration"":""16th"",""measure"":125,""part"":""Flute 2"",""pitch"":""E6"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.5,""duration"":""16th"",""measure"":125,""part"":""Flute 2"",""pitch"":""F6"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.75,""duration"":""16th"",""measure"":125,""part"":""Flute 2"",""pitch"":""G6"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.0,""duration"":""eighth"",""measure"":125,""part"":""Flute 2"",""pitch"":""A6"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.5,""duration"":""eighth"",""measure"":125,""part"":""Flute 2"",""pitch"":""B6"",""voice"":1},""name"":""add_note""}]","[""scalar_run"",""sixteenth_notes"",""flute"",""complex_run_creation""]",medium
pe_0164,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In Oboe 2, measure 7, add a triplet figure followed by a sustained note. Write three eighth-note triplet pitches (E5, D5, C5) starting at beat 1, then add a quarter note B4 at beat 2. The triplet should be notated as three eighth notes in the space of two.","[{""args"":{""actual_notes"":3,""beat"":1.0,""measure"":7,""normal_notes"":2,""part"":""Oboe 2"",""pitches_and_durations"":[[""E5"",""eighth""],[""D5"",""eighth""],[""C5"",""eighth""]],""voice"":1},""name"":""add_tuplet""},{""args"":{""beat"":2.0,""duration"":""quarter"",""measure"":7,""part"":""Oboe 2"",""pitch"":""B4"",""voice"":1},""name"":""add_note""}]","[""tuplet"",""triplet"",""woodwind"",""mixed_rhythm"",""complex_one_bar_creation""]",medium
pe_0165,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"Add the text 'Joy' as a lyric syllable to the C6 in Flute 1 at measure 124, where the theme fragment begins.","[{""args"":{""beat"":1.75,""measure_number"":124,""part"":""Flute 1"",""text"":""Joy"",""voice"":1},""name"":""add_lyric""}]","[""lyric"",""annotation"",""woodwind"",""theme-marking"",""simple_single_edit""]",medium
pe_0166,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In measure 123, add a four-note sixteenth run to Clarinet 2 starting on G4 at beat 1 with A4, Bb4, and C5, then place two eighth notes D5 and Eb5 on beat 2.","[{""args"":{""beat"":1.0,""duration"":""16th"",""measure"":123,""part"":""Bb Clarinet 2"",""pitch"":""G4"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.25,""duration"":""16th"",""measure"":123,""part"":""Bb Clarinet 2"",""pitch"":""A4"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.5,""duration"":""16th"",""measure"":123,""part"":""Bb Clarinet 2"",""pitch"":""Bb4"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.75,""duration"":""16th"",""measure"":123,""part"":""Bb Clarinet 2"",""pitch"":""C5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.0,""duration"":""eighth"",""measure"":123,""part"":""Bb Clarinet 2"",""pitch"":""D5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.5,""duration"":""eighth"",""measure"":123,""part"":""Bb Clarinet 2"",""pitch"":""Eb5"",""voice"":1},""name"":""add_note""}]","[""mixed-rhythm"",""ascending"",""one-bar-cell"",""complex_one_bar_creation""]",medium
pe_0167,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In Flute 1, measure 5, write a descending scalar figure starting on A5. Place four sixteenth notes (A5, G5, F5, E5) beginning at beat 1, then two eighth notes (D5, C5) starting at beat 2. This should create a two-beat run that fits the measure.","[{""args"":{""beat"":1.0,""duration"":""16th"",""measure"":5,""part"":""Flute 1"",""pitch"":""A5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.25,""duration"":""16th"",""measure"":5,""part"":""Flute 1"",""pitch"":""G5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.5,""duration"":""16th"",""measure"":5,""part"":""Flute 1"",""pitch"":""F5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.75,""duration"":""16th"",""measure"":5,""part"":""Flute 1"",""pitch"":""E5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.0,""duration"":""eighth"",""measure"":5,""part"":""Flute 1"",""pitch"":""D5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.5,""duration"":""eighth"",""measure"":5,""part"":""Flute 1"",""pitch"":""C5"",""voice"":1},""name"":""add_note""}]","[""scalar_run"",""woodwind"",""sixteenth_notes"",""complex_run_creation""]",medium
pe_0168,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"Write a triplet-eighth figure on beat 1 followed by a quarter note on beat 2 in measure 41 for Oboe 1. Use D5, E5, F5 for the triplet ascending, then G5 for the quarter note.","[{""args"":{""actual_notes"":3,""beat"":1.0,""measure"":41,""normal_notes"":2,""part"":""Oboe 1"",""pitches_and_durations"":[[""D5"",""eighth""],[""E5"",""eighth""],[""F5"",""eighth""]],""voice"":1},""name"":""add_tuplet""},{""args"":{""beat"":2.0,""duration"":""quarter"",""measure"":41,""part"":""Oboe 1"",""pitch"":""G5"",""voice"":1},""name"":""add_note""}]","[""triplet"",""one-bar-cell"",""woodwind"",""complex_one_bar_creation""]",medium
pe_0169,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In measure 163, write a quick sixteenth-note figure for Oboe2 starting on G5 at beat 1 and ascending through A5, B5, and C6, then add two descending eighth notes on B5 and A5 beginning at beat 2.","[{""args"":{""beat"":1.0,""duration"":""16th"",""measure"":163,""part"":""Oboe 2"",""pitch"":""G5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.25,""duration"":""16th"",""measure"":163,""part"":""Oboe 2"",""pitch"":""A5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.5,""duration"":""16th"",""measure"":163,""part"":""Oboe 2"",""pitch"":""B5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.75,""duration"":""16th"",""measure"":163,""part"":""Oboe 2"",""pitch"":""C6"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.0,""duration"":""eighth"",""measure"":163,""part"":""Oboe 2"",""pitch"":""B5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.5,""duration"":""eighth"",""measure"":163,""part"":""Oboe 2"",""pitch"":""A5"",""voice"":1},""name"":""add_note""}]","[""sixteenth_run"",""ascending_descending"",""woodwind"",""rest_replacement"",""complex_run_creation""]",hard
pe_0170,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In measure 86, write a new musical figure for Flute 2 beginning on beat 1: add a triplet of three eighth notes (G5, A5, B5) on beat 1, followed by four 16th notes (C6, B5, A5, G5) starting on beat 2.","[{""args"":{""actual_notes"":3,""beat"":1.0,""measure"":86,""normal_notes"":2,""part"":""Flute 2"",""pitches_and_durations"":[[""G5"",""eighth""],[""A5"",""eighth""],[""B5"",""eighth""]],""voice"":1},""name"":""add_tuplet""},{""args"":{""beat"":2.0,""duration"":""16th"",""measure"":86,""part"":""Flute 2"",""pitch"":""C6"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.25,""duration"":""16th"",""measure"":86,""part"":""Flute 2"",""pitch"":""B5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.5,""duration"":""16th"",""measure"":86,""part"":""Flute 2"",""pitch"":""A5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.75,""duration"":""16th"",""measure"":86,""part"":""Flute 2"",""pitch"":""G5"",""voice"":1},""name"":""add_note""}]","[""triplet"",""16th-notes"",""one-bar-cell"",""woodwind"",""complex_one_bar_creation""]",hard
pe_0171,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In measure 104, write a short melodic figure for Flute 2 that is currently silent. Begin with three triplet eighth notes on beat 1: D6, C-sharp 6, and B5. Follow with a quarter note A5 on beat 2.","[{""args"":{""actual_notes"":3,""beat"":1.0,""measure"":104,""normal_notes"":2,""part"":""Flute 2"",""pitches_and_durations"":[[""D6"",""eighth""],[""C#6"",""eighth""],[""B5"",""eighth""]],""voice"":1},""name"":""add_tuplet""},{""args"":{""beat"":2.0,""duration"":""quarter"",""measure"":104,""part"":""Flute 2"",""pitch"":""A5"",""voice"":1},""name"":""add_note""}]","[""triplet"",""woodwinds"",""melodic_figure"",""complex_one_bar_creation""]",medium
pe_0172,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In Oboe 2, measure 10, write a three-note ascending figure: add eighth notes A4 and B4 on beats 1 and 1.5, then add a quarter note C5 on beat 2.","[{""args"":{""beat"":1.0,""duration"":""eighth"",""measure"":10,""part"":""Oboe 2"",""pitch"":""A4"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.5,""duration"":""eighth"",""measure"":10,""part"":""Oboe 2"",""pitch"":""B4"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.0,""duration"":""quarter"",""measure"":10,""part"":""Oboe 2"",""pitch"":""C5"",""voice"":1},""name"":""add_note""}]","[""scalar"",""woodwind"",""rest-bar"",""complex_rewrite_rest_bar""]",easy
pe_0173,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In measure 166, write a two-voice counterpoint in Oboe 2. Voice 1 should play a rising four-note figure: D5, E5, F5, G5 as sixteenth notes starting at beat 1. Voice 2 should enter at beat 1 as well with a descending three-note figure: C5, B4, A4 as triplet eighth notes. Add a piano dynamic at beat 1.","[{""args"":{""beat"":1,""duration"":""16th"",""measure"":166,""part"":""Oboe 2"",""pitch"":""D5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.25,""duration"":""16th"",""measure"":166,""part"":""Oboe 2"",""pitch"":""E5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.5,""duration"":""16th"",""measure"":166,""part"":""Oboe 2"",""pitch"":""F5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.75,""duration"":""16th"",""measure"":166,""part"":""Oboe 2"",""pitch"":""G5"",""voice"":1},""name"":""add_note""},{""args"":{""actual_notes"":3,""beat"":1,""measure"":166,""normal_notes"":2,""part"":""Oboe 2"",""pitches_and_durations"":[[""C5"",""eighth""],[""B4"",""eighth""],[""A4"",""eighth""]],""voice"":2},""name"":""add_tuplet""},{""args"":{""beat"":1,""level"":""p"",""measure_number"":166,""part"":""Oboe 2""},""name"":""add_dynamic""}]","[""multi-voice"",""contrary-motion"",""tuplet"",""woodwind"",""complex_multivoice_creation""]",hard
pe_0174,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In measure 4, add a new rhythmic figure for Bassoon 1: write three triplet eighth notes on beat 1 (G3, A3, B3), followed by a quarter note C4 on beat 2.","[{""args"":{""actual_notes"":3,""beat"":1.0,""measure"":4,""normal_notes"":2,""part"":""Bassoon 1"",""pitches_and_durations"":[[""G3"",""eighth""],[""A3"",""eighth""],[""B3"",""eighth""]],""voice"":1},""name"":""add_tuplet""},{""args"":{""beat"":2.0,""duration"":""quarter"",""measure"":4,""part"":""Bassoon 1"",""pitch"":""C4"",""voice"":1},""name"":""add_note""}]","[""complex_one_bar_creation"",""triplet"",""mixed_rhythm""]",medium
pe_0175,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In measure 170, add a triplet eighth-note ascending figure in Violin 1 on beat 1 with pitches A4, B4, C#5.","[{""args"":{""actual_notes"":3,""beat"":1,""measure"":170,""normal_notes"":2,""part"":""Violin 1"",""pitches_and_durations"":[[""A4"",""eighth""],[""B4"",""eighth""],[""C#5"",""eighth""]],""voice"":1},""name"":""add_tuplet""}]","[""triplet"",""ascending"",""strings"",""complex_run_creation""]",medium
pe_0176,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In measure 193, write a new melody in Flute 1 voice 1. Start on beat 1 with a triplet of three eighth notes: C6, D6, and E6. Then place a quarter rest on beat 2. This should be the only music in Flute 1 for this measure.","[{""args"":{""actual_notes"":3,""beat"":1.0,""measure"":193,""normal_notes"":2,""part"":""Flute 1"",""pitches_and_durations"":[[""C6"",""eighth""],[""D6"",""eighth""],[""E6"",""eighth""]],""voice"":1},""name"":""add_tuplet""},{""args"":{""beat"":2.0,""dots"":0,""duration"":""quarter"",""measure"":193,""part"":""Flute 1"",""voice"":1},""name"":""add_rest""}]","[""complex_one_bar_creation"",""triplet_creation"",""woodwind""]",medium
pe_0177,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In measure 121, write a descending sixteenth-note figure in Flute 2 starting on Eb5 at beat 1, continuing with D5, C5, and Bb4, then add a quarter note A4 at beat 2.","[{""args"":{""beat"":1.0,""duration"":""16th"",""measure"":121,""part"":""Flute 2"",""pitch"":""Eb5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.25,""duration"":""16th"",""measure"":121,""part"":""Flute 2"",""pitch"":""D5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.5,""duration"":""16th"",""measure"":121,""part"":""Flute 2"",""pitch"":""C5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.75,""duration"":""16th"",""measure"":121,""part"":""Flute 2"",""pitch"":""Bb4"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.0,""duration"":""quarter"",""measure"":121,""part"":""Flute 2"",""pitch"":""A4"",""voice"":1},""name"":""add_note""}]","[""scalar-run"",""sixteenth-notes"",""descending"",""complex_run_creation""]",medium
pe_0178,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In measure 88, add a double stop to the first violin part at beat 2 with D4 and A4.","[{""args"":{""beat"":2,""duration"":""quarter"",""measure"":88,""part"":""Violin 1"",""pitches"":[""D4"",""A4""],""voice"":1},""name"":""add_chord""}]","[""strings"",""double-stop"",""harmony"",""simple_single_edit""]",medium
pe_0179,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In measure 39, write a two-beat figure for Flute 1 in voice 1 starting at beat 1. Begin with three eighth-note triplets on G5, A5, and B5. Then add four sixteenth notes on C6, D6, E6, and F#6 starting at beat 2.","[{""args"":{""actual_notes"":3,""beat"":1.0,""measure"":39,""normal_notes"":2,""part"":""Flute 1"",""pitches_and_durations"":[[""G5"",""eighth""],[""A5"",""eighth""],[""B5"",""eighth""]],""voice"":1},""name"":""add_tuplet""},{""args"":{""beat"":2.0,""duration"":""16th"",""measure"":39,""part"":""Flute 1"",""pitch"":""C6"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.25,""duration"":""16th"",""measure"":39,""part"":""Flute 1"",""pitch"":""D6"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.5,""duration"":""16th"",""measure"":39,""part"":""Flute 1"",""pitch"":""E6"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.75,""duration"":""16th"",""measure"":39,""part"":""Flute 1"",""pitch"":""F#6"",""voice"":1},""name"":""add_note""}]","[""tuplet"",""sixteenth-run"",""flute"",""measure-39"",""complex_one_bar_creation""]",hard
pe_0180,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In measure 115, write a new musical figure for Flute 2 starting at beat 1. Create three triplet eighth notes on pitches G#5, A5, and B5, followed by a quarter note on C6 at beat 2. This part currently has only rests in this measure.","[{""args"":{""actual_notes"":3,""beat"":1.0,""measure"":115,""normal_notes"":2,""part"":""Flute 2"",""pitches_and_durations"":[[""G#5"",""eighth""],[""A5"",""eighth""],[""B5"",""eighth""]],""voice"":1},""name"":""add_tuplet""},{""args"":{""beat"":2.0,""duration"":""quarter"",""measure"":115,""part"":""Flute 2"",""pitch"":""C6"",""voice"":1},""name"":""add_note""}]","[""triplet_creation"",""woodwind"",""one_bar"",""complex_one_bar_creation""]",medium
pe_0181,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In measure 92, write two independent voices in D Trumpet 2. Voice 1 should be an ascending four-note sixteenth-note figure starting on G4 at beat 1 (G4, A4, Bb4, C5). Voice 2 should also enter on beat 1 with a two-note descending eighth-note gesture starting on E4 (E4, D4).","[{""args"":{""beat"":1,""duration"":""16th"",""measure"":92,""part"":""D Trumpet 2"",""pitch"":""G4"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.25,""duration"":""16th"",""measure"":92,""part"":""D Trumpet 2"",""pitch"":""A4"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.5,""duration"":""16th"",""measure"":92,""part"":""D Trumpet 2"",""pitch"":""Bb4"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.75,""duration"":""16th"",""measure"":92,""part"":""D Trumpet 2"",""pitch"":""C5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1,""duration"":""eighth"",""measure"":92,""part"":""D Trumpet 2"",""pitch"":""E4"",""voice"":2},""name"":""add_note""},{""args"":{""beat"":1.5,""duration"":""eighth"",""measure"":92,""part"":""D Trumpet 2"",""pitch"":""D4"",""voice"":2},""name"":""add_note""}]","[""contrary_motion"",""two_voices"",""brass"",""complex_multivoice_creation""]",hard
pe_0182,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"Write a brief ascending figure in measure 193 for Flute 1: begin with three eighth-note triplets on beat 1 (pitches D6, E6, F#6), then add a quarter note G6 on beat 2.","[{""args"":{""actual_notes"":3,""beat"":1.0,""measure"":193,""normal_notes"":2,""part"":""Flute 1"",""pitches_and_durations"":[[""D6"",""eighth""],[""E6"",""eighth""],[""F#6"",""eighth""]],""voice"":1},""name"":""add_tuplet""},{""args"":{""beat"":2.0,""duration"":""quarter"",""measure"":193,""part"":""Flute 1"",""pitch"":""G6"",""voice"":1},""name"":""add_note""}]","[""tuplet"",""one-bar"",""woodwind"",""complex_one_bar_creation""]",medium
pe_0183,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In measure 111, write a short ascending three-note figure for Oboe 1 starting on E4. Place two eighth notes on E4 and F#4 at beats 1 and 1.5, then end with a quarter note on G4 at beat 2.","[{""args"":{""beat"":1.0,""duration"":""eighth"",""measure"":111,""part"":""Oboe 1"",""pitch"":""E4"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.5,""duration"":""eighth"",""measure"":111,""part"":""Oboe 1"",""pitch"":""F#4"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.0,""duration"":""quarter"",""measure"":111,""part"":""Oboe 1"",""pitch"":""G4"",""voice"":1},""name"":""add_note""}]","[""one-bar-creation"",""mixed-rhythms"",""rest-replacement"",""woodwinds"",""complex_one_bar_creation""]",medium
pe_0184,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"Add a short ascending run in measure 9 for Oboe 2: place four 16th notes (A4, B4, C5, D5) beginning at beat 1, followed by two eighth notes (E5, F#5) at beat 2.","[{""args"":{""beat"":1.0,""dots"":0,""duration"":""16th"",""measure"":9,""part"":3,""pitch"":""A4"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.25,""dots"":0,""duration"":""16th"",""measure"":9,""part"":3,""pitch"":""B4"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.5,""dots"":0,""duration"":""16th"",""measure"":9,""part"":3,""pitch"":""C5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.75,""dots"":0,""duration"":""16th"",""measure"":9,""part"":3,""pitch"":""D5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.0,""dots"":0,""duration"":""eighth"",""measure"":9,""part"":3,""pitch"":""E5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.5,""dots"":0,""duration"":""eighth"",""measure"":9,""part"":3,""pitch"":""F#5"",""voice"":1},""name"":""add_note""}]","[""run_creation"",""scalar"",""mixed_rhythm"",""complex_run_creation""]",medium
pe_0185,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In measure 13, write a short melodic figure for Oboe 2 starting on beat 1 with four sixteenth notes E5, F#5, G5, A5, followed by two eighth notes B5 and A5 on beat 2. Add staccato articulation to all six notes.","[{""args"":{""beat"":1.0,""duration"":""16th"",""measure"":13,""part"":""Oboe 2"",""pitch"":""E5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.25,""duration"":""16th"",""measure"":13,""part"":""Oboe 2"",""pitch"":""F#5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.5,""duration"":""16th"",""measure"":13,""part"":""Oboe 2"",""pitch"":""G5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.75,""duration"":""16th"",""measure"":13,""part"":""Oboe 2"",""pitch"":""A5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.0,""duration"":""eighth"",""measure"":13,""part"":""Oboe 2"",""pitch"":""B5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.5,""duration"":""eighth"",""measure"":13,""part"":""Oboe 2"",""pitch"":""A5"",""voice"":1},""name"":""add_note""},{""args"":{""articulation_type"":""staccato"",""beat"":1.0,""measure_number"":13,""part"":""Oboe 2"",""voice"":1},""name"":""add_articulation""},{""args"":{""articulation_type"":""staccato"",""beat"":1.25,""measure_number"":13,""part"":""Oboe 2"",""voice"":1},""name"":""add_articulation""},{""args"":{""articulation_type"":""staccato"",""beat"":1.5,""measure_number"":13,""part"":""Oboe 2"",""voice"":1},""name"":""add_articulation""},{""args"":{""articulation_type"":""staccato"",""beat"":1.75,""measure_number"":13,""part"":""Oboe 2"",""voice"":1},""name"":""add_articulation""},{""args"":{""articulation_type"":""staccato"",""beat"":2.0,""measure_number"":13,""part"":""Oboe 2"",""voice"":1},""name"":""add_articulation""},{""args"":{""articulation_type"":""staccato"",""beat"":2.5,""measure_number"":13,""part"":""Oboe 2"",""voice"":1},""name"":""add_articulation""}]","[""one-bar-creation"",""sixteenth-run"",""staccato"",""complex_one_bar_creation""]",hard
pe_0186,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"Mark the end of this section with a Fine indication at measure 124, and add rehearsal letter 'B' at measure 115 so performers know where to return.","[{""args"":{""measure_number"":124},""name"":""add_fine""},{""args"":{""measure_number"":115,""text"":""B""},""name"":""add_rehearsal_mark""}]","[""navigation"",""fine"",""rehearsal_mark"",""multi_edit"",""multi_call_notation""]",medium
pe_0187,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In measure 90, add two independent voices to Violin 1: voice 1 plays ascending quarter notes D4 on beat 1 and E4 on beat 2, while voice 2 plays descending quarter notes A3 on beat 1 and G3 on beat 2.","[{""args"":{""beat"":1.0,""duration"":""quarter"",""measure"":90,""part"":""Violin 1"",""pitch"":""D4"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.0,""duration"":""quarter"",""measure"":90,""part"":""Violin 1"",""pitch"":""E4"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.0,""duration"":""quarter"",""measure"":90,""part"":""Violin 1"",""pitch"":""A3"",""voice"":2},""name"":""add_note""},{""args"":{""beat"":2.0,""duration"":""quarter"",""measure"":90,""part"":""Violin 1"",""pitch"":""G3"",""voice"":2},""name"":""add_note""}]","[""contrary-motion"",""two-voices"",""quarter-notes"",""strings"",""complex_multivoice_creation""]",medium
pe_0188,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"The first flute part has some very high notes in measures 50 and 51. Please add an 8va marking above the staff and move the notes down in the staff to make it easier to read, starting from the beginning of measure 50 and ending at the second beat of measure 51.","[{""args"":{""end_beat"":2,""end_measure"":51,""ottava_type"":""8va"",""part"":""Flute 1"",""placement"":""above"",""rewrite_pitches"":true,""start_beat"":1,""start_measure"":50,""voice"":1},""name"":""add_ottava""}]","[""ottava"",""flute"",""high-register"",""transposition"",""simple_single_edit""]",hard
pe_0189,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In measure 127, add a second voice to Viola with a descending line of four eighth notes: C4 on beat 1, Bb3 on beat 1.5, A3 on beat 2, and G3 on beat 2.5.","[{""args"":{""beat"":1.0,""duration"":""eighth"",""measure"":127,""part"":""Viola"",""pitch"":""C4"",""voice"":2},""name"":""add_note""},{""args"":{""beat"":1.5,""duration"":""eighth"",""measure"":127,""part"":""Viola"",""pitch"":""Bb3"",""voice"":2},""name"":""add_note""},{""args"":{""beat"":2.0,""duration"":""eighth"",""measure"":127,""part"":""Viola"",""pitch"":""A3"",""voice"":2},""name"":""add_note""},{""args"":{""beat"":2.5,""duration"":""eighth"",""measure"":127,""part"":""Viola"",""pitch"":""G3"",""voice"":2},""name"":""add_note""}]","[""multivoice"",""descending_line"",""eighth_notes"",""complex_multivoice_creation""]",medium
pe_0190,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,Add a Da Capo marking at measure 22 to indicate the performer should return to the beginning from this point.,"[{""args"":{""al"":null,""measure_number"":22},""name"":""add_da_capo""}]","[""navigation"",""da_capo"",""structural"",""structural_layout""]",easy
